  Class ,  z ,  b ,  c ,  H ,  Mem ,  Runs ,  Th ,  FP% ,  MinB ,  MaxB ,  AvgB ,  MinL ,  MaxL ,  AvgL ,  MinTime ,  MaxTime ,  AvgTime ,  MinHops ,  MaxHops ,  AvgHops ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  23  ,  23  ,  23.0  ,  2.392857142857143  ,  4.0  ,  2.9291335714291233  ,  67  ,  112  ,  82.01574  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  24  ,  24  ,  24.0  ,  2.3793103448275863  ,  4.0  ,  3.017104137931812  ,  69  ,  116  ,  87.49602  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  25  ,  25  ,  25.0  ,  2.3666666666666667  ,  4.0  ,  3.096533999999953  ,  71  ,  120  ,  92.89602  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  26  ,  26  ,  26.0  ,  2.3548387096774195  ,  4.0  ,  3.1791806451620057  ,  73  ,  124  ,  98.5546  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  27  ,  27  ,  27.0  ,  2.34375  ,  4.0  ,  3.25294  ,  75  ,  128  ,  104.09408  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  28  ,  28  ,  28.0  ,  2.3333333333333335  ,  4.0  ,  3.3184918181814638  ,  77  ,  132  ,  109.51023  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  29  ,  29  ,  29.0  ,  2.323529411764706  ,  4.0  ,  3.3825626470601744  ,  79  ,  136  ,  115.00713  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  30  ,  30  ,  30.0  ,  2.3142857142857145  ,  4.0  ,  3.4447331428564723  ,  81  ,  140  ,  120.56566  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  31  ,  31  ,  31.0  ,  2.3055555555555554  ,  4.0  ,  3.5001555555559043  ,  83  ,  144  ,  126.0056  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  3  ,  3  ,  3.0  ,  2.125  ,  2.375  ,  2.249535  ,  17  ,  19  ,  17.99628  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  4  ,  4  ,  4.0  ,  2.3333333333333335  ,  3.111111111111111  ,  2.8332288888894133  ,  21  ,  28  ,  25.49906  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  5  ,  5  ,  5.0  ,  2.6  ,  3.4  ,  3.1012129999999773  ,  26  ,  34  ,  31.01213  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  6  ,  6  ,  6.0  ,  3.0  ,  3.6363636363636362  ,  3.3180909090914263  ,  33  ,  40  ,  36.499  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  34.0  ,  100000 ,  4 ,  0.0  ,  5  ,  5  ,  5.0  ,  7  ,  7  ,  7.0  ,  2.9166666666666665  ,  3.8333333333333335  ,  3.500997499999992  ,  35  ,  46  ,  42.01197  ,
