Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  26  ,  26  ,  26.0  ,  1.62068965517  ,  2.48275862069  ,  2.05268758621  ,  47  ,  72  ,  59.52794  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  27  ,  27  ,  27.0  ,  1.6  ,  2.46666666667  ,  2.03411133333  ,  48  ,  74  ,  61.02334  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  28  ,  28  ,  28.0  ,  1.58064516129  ,  2.45161290323  ,  2.01632451613  ,  49  ,  76  ,  62.50606  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  29  ,  29  ,  29.0  ,  1.5625  ,  2.4375  ,  2.0006703125  ,  50  ,  78  ,  64.02145  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  30  ,  30  ,  30.0  ,  1.54545454545  ,  2.42424242424  ,  1.9845769697  ,  51  ,  80  ,  65.49104  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  31  ,  31  ,  31.0  ,  1.52941176471  ,  2.41176470588  ,  1.97046529412  ,  52  ,  82  ,  66.99582  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  3  ,  3  ,  3.0  ,  1.0  ,  2.6  ,  1.661625  ,  10  ,  26  ,  16.61625  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  4  ,  4  ,  4.0  ,  1.0  ,  2.54545454545  ,  1.55946363636  ,  11  ,  28  ,  17.1541  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  5  ,  5  ,  5.0  ,  1.0  ,  2.5  ,  1.4982125  ,  12  ,  30  ,  17.97855  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  6  ,  6  ,  6.0  ,  1.0  ,  2.46153846154  ,  1.46131076923  ,  13  ,  32  ,  18.99704  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  7  ,  7  ,  7.0  ,  1.0  ,  2.42857142857  ,  1.43804857143  ,  14  ,  34  ,  20.13268  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  8  ,  8  ,  8.0  ,  1.0  ,  2.4  ,  1.47277933333  ,  15  ,  36  ,  22.09169  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  9  ,  9  ,  9.0  ,  1.0  ,  2.375  ,  1.56405625  ,  16  ,  38  ,  25.0249  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  10  ,  10  ,  10.0  ,  1.0  ,  2.35294117647  ,  1.64554941176  ,  17  ,  40  ,  27.97434  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  11  ,  11  ,  11.0  ,  1.0  ,  2.33333333333  ,  1.72700333333  ,  18  ,  42  ,  31.08606  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  12  ,  12  ,  12.0  ,  1.0  ,  2.31578947368  ,  1.80134421053  ,  19  ,  44  ,  34.22554  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  13  ,  13  ,  13.0  ,  1.0  ,  2.3  ,  1.8705425  ,  20  ,  46  ,  37.41085  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  14  ,  14  ,  14.0  ,  1.0  ,  2.28571428571  ,  1.93373190476  ,  21  ,  48  ,  40.60837  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  15  ,  15  ,  15.0  ,  1.63636363636  ,  2.27272727273  ,  1.95455454545  ,  36  ,  50  ,  43.0002  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  16  ,  16  ,  16.0  ,  1.60869565217  ,  2.26086956522  ,  1.93537826087  ,  37  ,  52  ,  44.5137  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  17  ,  17  ,  17.0  ,  1.58333333333  ,  2.25  ,  1.91624458333  ,  38  ,  54  ,  45.98987  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  18  ,  18  ,  18.0  ,  1.56  ,  2.24  ,  1.9005576  ,  39  ,  56  ,  47.51394  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  19  ,  19  ,  19.0  ,  1.53846153846  ,  2.23076923077  ,  1.88557461539  ,  40  ,  58  ,  49.02494  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  20  ,  20  ,  20.0  ,  1.51851851852  ,  2.22222222222  ,  1.87082407407  ,  41  ,  60  ,  50.51225  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  21  ,  21  ,  21.0  ,  1.5  ,  2.21428571429  ,  1.857245  ,  42  ,  62  ,  52.00286  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  7  ,  7  ,  7.0  ,  22  ,  22  ,  22.0  ,  1.48275862069  ,  2.20689655172  ,  1.84542551724  ,  43  ,  64  ,  53.51734  ,
